"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 16 17:10:48 BST 2026","Sat May 16 17:10:55 BST 2026","6471","","battleship.g105446.UserStory4Test","","battleship.g105446.UserStory4Test","playerCanNavigateToTournaments","Como jogador, quero navegar para a página de torneios",""
"passed","Sat May 16 17:10:55 BST 2026","Sat May 16 17:11:00 BST 2026","4916","","battleship.g105446.UserStory2Test","","battleship.g105446.UserStory2Test","playerCanSeeLeaderboard","Como jogador, quero ver o leaderboard para ver os melhores jogadores",""
"passed","Sat May 16 17:11:06 BST 2026","Sat May 16 17:11:10 BST 2026","3924","","battleship.g105446.UserStory1Test","","battleship.g105446.UserStory1Test","playerCanCreateNickname","Como jogador, quero criar um nickname para me identificar no jogo",""
"passed","Sat May 16 17:25:17 BST 2026","Sat May 16 17:25:17 BST 2026","806","","battleship.selenide.g105446.Student105446UserStory4SelenideTest","","battleship.selenide.g105446.Student105446UserStory4SelenideTest","playerCanNavigateToTournaments","Como jogador, quero navegar para a página de torneios",""
"passed","Sat May 16 17:11:00 BST 2026","Sat May 16 17:11:06 BST 2026","5898","","battleship.g105446.UserStory3Test","","battleship.g105446.UserStory3Test","playerCanLogin","Como jogador, quero fazer login para aceder à minha conta",""
"passed","Sat May 16 17:25:17 BST 2026","Sat May 16 17:25:18 BST 2026","948","","battleship.selenide.g105446.Student105446UserStory1SelenideTest","","battleship.selenide.g105446.Student105446UserStory1SelenideTest","playerCanCreateNickname","Como jogador, quero criar um nickname para me identificar no jogo",""
"passed","Sat May 16 17:25:11 BST 2026","Sat May 16 17:25:16 BST 2026","4860","","battleship.selenide.g105446.Student105446UserStory2SelenideTest","","battleship.selenide.g105446.Student105446UserStory2SelenideTest","playerCanSeeLeaderboard","Como jogador, quero ver o leaderboard para ver os melhores jogadores",""
"passed","Sat May 16 17:25:16 BST 2026","Sat May 16 17:25:17 BST 2026","807","","battleship.selenide.g105446.Student105446UserStory3SelenideTest","","battleship.selenide.g105446.Student105446UserStory3SelenideTest","playerCanLogin","Como jogador, quero fazer login para aceder à minha conta",""
